DATE,USPHCI,INDPRO,RSI,NFP,HYS
1/11/2003,90.27,92.1265,308527,130482,4.6176190476190476
1/12/2003,90.48,92.1722,307407,130595,4.2800000000000000
1/01/2004,90.65,92.327,309254,130765,3.9400000000000000
1/02/2004,90.84,92.8873,311393,130822,4.2585714285714286
1/03/2004,91.04,92.5325,316912,131139,4.4017391304347826
1/04/2004,91.34,92.9096,313512,131410,3.9752380952380952
1/05/2004,91.58,93.5838,318964,131694,4.2509523809523810
1/06/2004,91.79,92.8621,314958,131789,4.0690909090909091
1/07/2004,92,93.5511,318549,131849,4.0117391304347826
1/08/2004,92.2,93.6328,318977,131936,4.0813636363636364
1/09/2004,92.42,93.7418,324569,132082,3.8736363636363636
1/10/2004,92.67,94.5671,326740,132433,3.7272727272727273
1/11/2004,92.88,94.8,327836,132509,3.2895454545454545
1/12/2004,93.04,95.5426,331874,132633,3.1031818181818182
1/01/2005,93.28,95.8831,328696,132778,3.2042857142857143
1/02/2005,93.46,96.5616,333026,133033,3.0515000000000000
1/03/2005,93.73,96.4371,333581,133153,2.9750000000000000
1/04/2005,93.97,96.628,336583,133516,3.7813636363636364
1/05/2005,94.22,96.7306,334522,133687,4.2277272727272727
1/06/2005,94.5,97.1488,343998,133940,3.9027272727272727
1/07/2005,94.77,96.8383,346576,134297,3.4940909090909091
1/08/2005,95.02,97.1603,343307,134495,3.3739130434782609
1/09/2005,95.14,95.2729,343956,134551,3.6390909090909091
1/10/2005,95.35,96.4383,344097,134644,3.5847619047619048
1/11/2005,95.63,97.4951,347325,135001,3.6213636363636364
1/12/2005,95.91,97.9788,347405,135161,3.6545454545454545
1/01/2006,96.21,98.1305,357331,135425,3.5457142857142857
1/02/2006,96.46,98.1779,354706,135731,3.3350000000000000
1/03/2006,96.82,98.3898,355665,136040,3.2517391304347826
1/04/2006,97.08,98.6769,357423,136211,3.0605000000000000
1/05/2006,97.32,98.7052,356704,136247,3.0186956521739130
1/06/2006,97.51,99.0427,357879,136328,3.2809090909090909
1/07/2006,97.69,98.9804,359006,136522,3.3704761904761905
