,PMI,USSLIND,SP500,T10Y2Y,IQ,IR
2000-01,56.7,1.61,0.0,0.22309523809523812,99.2,97.8
2000-02,55.8,1.48,0.0,-0.09571428571428572,99.6,99.7
2000-03,54.9,1.88,0.0,-0.2717391304347826,100.0,99.9
2000-04,54.7,2.13,0.0,-0.41125,100.0,98.5
2000-05,53.2,1.85,0.0,-0.36869565217391304,100.2,98.8
2000-06,51.4,1.26,0.0,-0.3845454545454546,100.1,100.2
2000-07,52.5,0.99,0.0,-0.28595238095238096,100.0,100.2
2000-08,49.9,1.05,0.0,-0.4026086956521739,99.8,100.4
2000-09,49.7,1.06,0.0,-0.28833333333333333,100.4,101.6
2000-10,48.7,1.19,0.0,-0.17363636363636364,100.3,101.2
2000-11,48.5,0.97,0.0,-0.16136363636363638,100.3,101.2
2000-12,43.9,0.8,0.0,-0.10952380952380951,100.1,100.5
2001-01,42.3,0.95,0.0,0.3826086956521739,100.3,100.5
2001-02,42.1,0.66,0.0,0.4385,100.2,99.9
2001-03,43.1,0.46,0.0,0.5431818181818181,100.0,98.3
2001-04,42.7,0.26,0.0,0.901904761904762,99.9,97.8
2001-05,41.3,0.44,0.0,1.1347826086956523,99.6,98.0
2001-06,43.2,0.6,0.0,1.2042857142857142,99.4,97.6
2001-07,43.5,0.28,0.0,1.1970454545454545,99.0,96.1
2001-08,46.3,0.39,0.0,1.2139130434782608,98.8,96.0
2001-09,46.2,-0.08,0.0,1.5782500000000002,99.0,95.9
2001-10,40.8,-0.32,0.0,1.8410869565217391,98.3,93.7
2001-11,44.1,-0.4,0.0,1.8688636363636364,97.8,92.3
2001-12,45.3,-0.05,0.0,1.9795238095238095,97.6,91.4
2002-01,47.5,0.53,0.0,2.0069565217391303,97.5,91.6
2002-02,50.7,0.71,0.0,1.8962499999999998,97.3,91.6
2002-03,52.4,0.51,0.0,1.725238095238095,97.6,92.8
2002-04,52.4,0.61,0.0,1.7881818181818183,98.0,94.3
2002-05,53.1,0.73,0.0,1.8991304347826088,98.0,94.4
2002-06,53.6,0.99,0.0,1.9335,98.0,94.1
2002-07,50.2,1.12,0.0,2.092173913043478,98.3,94.5
2002-08,50.3,0.91,0.0,2.1236363636363635,98.5,94.8
2002-09,50.5,0.97,0.0,1.8711904761904763,98.8,95.5
2002-10,49.0,0.88,0.0,2.027173913043478,98.7,95.5
2002-11,48.5,0.72,0.0,2.1204761904761904,98.8,94.6
2002-12,51.6,0.66,0.0,2.1975,98.6,95.2
2003-01,51.3,0.91,0.0,2.3043478260869565,98.9,96.9
2003-02,48.8,0.69,0.0,2.27625,99.5,98.5
2003-03,46.3,0.47,0.0,2.2333333333333334,99.7,99.1
2003-04,46.1,0.26,0.0,2.3336363636363635,99.6,96.0
2003-05,49.0,0.47,0.0,2.147727272727273,99.7,95.3
2003-06,49.0,0.56,0.0,2.107142857142857,99.5,96.2
2003-07,51.0,0.93,0.0,2.495434782608696,99.4,96.7
2003-08,53.2,1.13,0.0,2.580952380952381,99.4,96.7
2003-09,52.4,1.49,0.0,2.5665909090909094,99.8,96.2
2003-10,55.2,1.56,0.0,2.5469565217391303,100.0,96.3
2003-11,58.4,1.53,0.0,2.3705,100.5,96.8
2003-12,60.1,1.78,0.0,2.3604347826086958,100.8,97.5
2004-01,60.8,1.51,0.0,2.3904545454545456,101.5,99.0
2004-02,59.9,1.47,0.0,2.3445,102.2,99.4
2004-03,60.6,1.61,0.0,2.248695652173913,103.0,100.2
2004-04,60.6,1.64,0.0,2.279318181818182,103.7,100.4
2004-05,61.4,1.8,0.0,2.178809523809524,104.1,101.9
2004-06,60.5,1.53,0.0,1.9699999999999998,103.4,101.7
2004-07,59.9,1.57,0.0,1.8629545454545455,103.9,102.1
2004-08,58.5,1.47,0.0,1.7731818181818182,103.4,103.6
2004-09,57.4,1.38,0.0,1.604318181818182,103.8,104.1
2004-10,56.3,1.38,0.0,1.5142857142857142,104.4,105.8
2004-11,56.2,1.5,0.0,1.3375000000000001,104.7,105.5
2004-12,57.2,1.37,0.0,1.2191304347826086,104.8,104.0
2005-01,56.8,1.16,0.0,0.9976190476190476,105.6,104.6
2005-02,55.5,1.54,0.0,0.78275,105.7,105.5
