DATE,장단기10년물국채/3개월금리차,장단기10년물국채/2년물금리차,국제유가,실업률,신규주택착공건수,주택가격지수,금융상태지수,금융상태지수레버리지,소비자감성지수,기준금리,제조업신규주문,M2통화량,신규실업수당청구,경기동행종합,산업생산지수,소매판매
2000-01-31,0.92,0.07,27.259,4.0,1636,100,-0.193,0.579,112.00,5.45,337504,4666.2,288400,86.22,91.4251,268044
2000-02-29,0.64,-0.11,29.366,4.1,1737,100.571,-0.204,0.595,111.30,5.73,337504,4679.4,293750,86.42,91.7357,272020
2000-03-31,0.15,-0.47,29.842,4.0,1604,101.466,-0.130,0.608,107.10,5.85,370003,4710.2,274750,86.85,92.0933,275192
2000-04-30,0.41,-0.45,25.722,3.8,1626,102.54,-0.044,0.618,109.20,6.02,336901,4766.1,271600,87.19,92.6838,271046
2000-05-31,0.66,-0.4,28.788,4.0,1575,103.702,0.021,0.632,110.70,6.27,344615,4753.9,282250,87.38,92.9376,271394
2000-06-30,0.15,-0.35,31.822,4.0,1559,104.855,0.037,0.654,106.40,6.53,398101,4771.8,291000,87.53,93.0076,273422
2000-07-31,-0.23,-0.26,29.697,4.0,1463,105.721,-0.063,0.683,108.30,6.54,307154,4789.4,295000,87.74,92.8458,272630
2000-08-31,-0.58,-0.45,31.264,4.1,1541,106.522,-0.167,0.707,107.30,6.5,345644,4817.5,312750,87.89,92.5972,272918
2000-09-30,-0.43,-0.18,33.884,3.9,1507,107.135,-0.196,0.728,106.80,6.52,370860,4853.2,300200,88.13,92.9653,277548
2000-10-31,-0.61,-0.17,33.109,3.9,1549,107.728,-0.170,0.740,105.80,6.51,345596,4869.2,301000,88.25,92.6418,276927
2000-11-30,-0.73,-0.13,34.417,3.9,1551,108.291,-0.132,0.742,107.60,6.51,339253,4880.3,334250,88.46,92.6618,276029
2000-12-31,-0.77,0.01,28.437,3.9,1532,108.791,-0.062,0.737,98.40,6.4,342367,4925,346000,88.63,92.3459,275791
2001-01-31,0.2,0.57,29.586,4.2,1600,109.214,-0.173,0.728,94.70,5.98,312664,4975.7,340000,88.68,91.8903,278834
2001-02-28,0.07,0.51,29.609,4.2,1625,109.642,-0.277,0.722,90.60,5.49,325143,5014.1,371250,88.82,91.2915,278773
2001-03-31,0.63,0.75,27.245,4.3,1590,110.394,-0.258,0.719,91.50,5.31,356885,5072,387200,88.9,91.0526,276450
2001-04-30,1.4,1.05,27.490,4.4,1649,111.248,-0.292,0.718,88.40,4.8,315057,5135.9,396750,88.88,90.7293,280808
2001-05-31,1.8,1.21,28.629,4.3,1605,112.203,-0.394,0.713,92.00,4.21,336114,5133,394500,89,90.2577,281496
2001-06-30,1.77,1.17,27.599,4.5,1636,113.272,-0.444,0.700,92.60,3.97,340589,5173.5,397200,88.97,89.7677,280401
2001-07-31,1.53,1.28,26.425,4.6,1670,114.226,-0.486,0.681,92.40,3.77,288080,5203.4,398000,88.97,89.226,279504
2001-08-31,1.48,1.21,27.374,4.9,1567,114.988,-0.488,0.660,91.50,3.65,328478,5237.2,398000,88.89,89.1326,281413
2001-09-30,2.2,1.74,26.199,5.0,1562,115.465,-0.355,0.637,81.80,3.07,320727,5348.4,435000,88.86,88.6679,276084
2001-10-31,2.25,1.86,22.170,5.3,1540,115.681,-0.366,0.614,82.70,2.49,328245,5337.1,480750,88.72,88.3926,294540
2001-11-30,3,1.94,19.635,5.5,1602,115.839,-0.402,0.579,83.90,2.09,305656,5380.8,447500,88.61,87.8774,287111
2001-12-31,3.33,2,19.389,5.7,1568,116.056,-0.351,0.538,88.80,1.82,311217,5433.8,416800,88.53,87.8344,283705
2002-01-31,3.31,1.91,19.715,5.7,1698,116.437,-0.429,0.502,93.00,1.73,289997,5454.1,408500,88.57,88.4665,283508
2002-02-28,3.09,1.82,20.724,5.7,1829,116.916,-0.494,0.475,90.70,1.74,306057,5483.4,399000,88.57,88.4661,285054
2002-03-31,3.63,1.7,24.531,5.7,1642,117.929,-0.499,0.464,95.70,1.73,333237,5495.2,415400,88.62,89.1228,284262
2002-04-30,3.34,1.87,26.179,5.9,1592,119.208,-0.553,0.467,93.00,1.75,317142,5495.4,429250,88.59,89.5532,288833
2002-05-31,3.34,1.86,27.041,5.8,1764,120.788,-0.628,0.471,96.90,1.75,329014,5521.5,409000,88.72,89.934,284951
2002-06-30,3.16,1.96,25.519,5.8,1717,122.333,-0.580,0.469,92.40,1.75,326347,5546.5,387200,88.8,90.6769,287372
2002-07-31,2.8,2.28,26.966,5.8,1655,123.687,-0.481,0.459,88.10,1.73,296043,5589.1,386000,88.89,90.6455,290385
2002-08-31,2.45,2,28.385,5.7,1633,124.729,-0.424,0.443,87.60,1.74,331646,5631.6,393600,88.99,90.5475,292650
2002-09-30,2.06,1.91,29.664,5.7,1804,125.494,-0.380,0.427,86.10,1.75,330746,5656,409500,89.03,90.6381,288410
2002-10-31,2.49,2.25,28.837,5.7,1648,126.136,-0.375,0.415,80.60,1.75,332414,5700.4,407500,89.16,90.4041,289576
2002-11-30,3,2.14,26.352,5.9,1753,126.642,-0.443,0.404,84.20,1.34,314870,5750.6,392200,89.19,90.8985,291484
2002-12-31,2.61,2.22,29.461,6.0,1788,127.151,-0.464,0.397,86.70,1.24,315632,5772,414250,89.19,90.389,293947
2003-01-31,2.82,2.28,32.947,5.8,1853,127.652,-0.515,0.390,82.40,1.24,305612,5804.6,395000,89.42,91.1355,295248
2003-02-28,2.51,2.18,35.828,5.9,1629,128.326,-0.542,0.381,79.90,1.26,316969,5840.7,411000,89.4,91.2502,291167
2003-03-31,2.69,2.32,33.513,5.9,1726,129.308,-0.570,0.369,77.60,1.25,349765,5861.4,427400,89.37,91.0059,296325
2003-04-30,2.76,2.38,28.170,6.0,1643,130.488,-0.663,0.354,86.00,1.26,319674,5898.8,436250,89.4,90.4281,295600
2003-05-31,2.26,2.04,28.109,6.1,1751,131.839,-0.731,0.333,92.10,1.26,327867,5959.3,424000,89.43,90.4073,296410
2003-06-30,2.64,2.22,30.662,6.3,1867,133.225,-0.729,0.307,89.70,1.22,342944,5996,421750,89.47,90.5218,299626
2003-07-31,3.53,2.69,30.755,6.2,1897,134.647,-0.731,0.280,90.90,1.01,305215,6042.7,411500,89.62,90.9896,302747
2003-08-31,3.47,2.5,31.574,6.1,1833,135.965,-0.686,0.248,89.30,1.03,331634,6100.8,400200,89.76,90.7858,307809
2003-09-30,3.01,2.46,28.311,6.1,1939,137.076,-0.674,0.218,87.70,1.01,349740,6072.8,395500,89.85,91.3829,305933
2003-10-31,3.37,2.48,30.338,6.0,1967,137.976,-0.710,0.198,89.60,1.01,355752,6063.6,382000,90.07,91.5005,304809
2003-11-30,3.41,2.28,31.108,5.8,2083,138.765,-0.724,0.199,93.70,1,327177,6069.1,363000,90.27,92.1265,308527
2003-12-31,3.32,2.43,32.129,5.7,2057,139.628,-0.722,0.222,92.60,0.98,343463,6067.3,358250,90.48,92.1722,307407
2004-01-31,3.24,2.32,34.310,5.7,1911,140.706,-0.768,0.267,103.80,1,315468,6075.5,360200,90.65,92.327,309254
2004-02-29,3.03,2.33,34.685,5.6,1846,142.029,-0.815,0.317,94.40,1.01,333072,6114.3,360750,90.84,92.8873,311393
2004-03-31,2.91,2.26,36.741,5.8,1998,144.08,-0.821,0.359,95.80,1,384320,6150.1,342000,91.04,92.5325,316912
2004-04-30,3.55,2.22,36.750,5.6,2003,146.18,-0.781,0.402,94.20,1,348254,6191.2,348250,91.34,92.9096,313512
