직업,산업군,total,default
1,5,0.014817655,0.138322701
1,16,0.005917061,0.055235724
1,24,0.001533436,0.01431461
1,17,0.000933396,0.008713241
1,26,0.000700047,0.006534931
1,30,0.000516701,0.004823401
1,20,0.00045003,0.004201027
1,10,0.000416694,0.00388984
1,21,0.000316688,0.002956278
1,0,0.000266684,0.002489497
1,3,0.000166678,0.001555936
1,28,0.000133342,0.001244749
1,6,0.000116674,0.001089155
1,4,0.000116674,0.001089155
1,23,0.000100007,0.000933562
1,22,0.000100007,0.000933562
1,8,6.66711E-05,0.000622374
1,7,6.66711E-05,0.000622374
1,31,5.00033E-05,0.000466781
1,2,5.00033E-05,0.000466781
1,19,3.33356E-05,0.000311187
1,29,3.33356E-05,0.000311187
1,13,3.33356E-05,0.000311187
1,1,3.33356E-05,0.000311187
1,32,1.66678E-05,0.000155594
1,15,1.66678E-05,0.000155594
1,11,1.66678E-05,0.000155594
1,9,0,0
1,14,0,0
1,27,0,0
1,12,0,0
1,25,0,0
1,18,0,0
5,16,0.010750717,0.100357865
5,24,0.003333556,0.031118718
5,17,0.003066871,0.02862922
5,0,0.002283486,0.021316322
5,20,0.001266751,0.011825113
5,5,0.001250083,0.011669519
5,10,0.000500033,0.004667808
5,26,0.000433362,0.004045433
5,28,0.000433362,0.004045433
5,6,0.00030002,0.002800685
5,30,0.000283352,0.002645091
5,23,0.000233349,0.00217831
5,19,0.000166678,0.001555936
5,25,0.00015001,0.001400342
5,18,0.000116674,0.001089155
5,8,8.33389E-05,0.000777968
5,31,8.33389E-05,0.000777968
5,4,8.33389E-05,0.000777968
5,21,6.66711E-05,0.000622374
5,7,5.00033E-05,0.000466781
5,9,3.33356E-05,0.000311187
5,1,3.33356E-05,0.000311187
5,29,1.66678E-05,0.000155594
5,22,1.66678E-05,0.000155594
5,3,1.66678E-05,0.000155594
5,13,1.66678E-05,0.000155594
5,15,0,0
5,32,0,0
5,27,0,0
5,14,0,0
5,11,0,0
5,2,0,0
10,24,0.00525035,0.049011981
10,16,0.003700247,0.034541777
10,10,0.002750183,0.025672942
10,5,0.000416694,0.00388984
10,17,0.000183346,0.001711529
10,26,0.000116674,0.001089155
10,20,0.000116674,0.001089155
10,18,6.66711E-05,0.000622374
10,0,6.66711E-05,0.000622374
10,23,5.00033E-05,0.000466781
10,8,5.00033E-05,0.000466781
10,6,3.33356E-05,0.000311187
10,22,1.66678E-05,0.000155594
10,12,1.66678E-05,0.000155594
10,15,1.66678E-05,0.000155594
10,4,1.66678E-05,0.000155594
10,28,1.66678E-05,0.000155594
10,2,1.66678E-05,0.000155594
10,31,1.66678E-05,0.000155594
10,9,1.66678E-05,0.000155594
10,14,1.66678E-05,0.000155594
10,30,0,0
10,19,0,0
10,7,0,0
10,11,0,0
10,29,0,0
10,3,0,0
10,1,0,0
10,13,0,0
10,27,0,0
12,16,0.003233549,0.030185156
12,24,0.002566838,0.023961413
12,20,0.001183412,0.011047145
12,5,0.000383359,0.003578653
12,17,0.000283352,0.002645091
12,26,0.000266684,0.002489497
12,0,0.000250017,0.002333904
12,10,0.000200013,0.001867123
12,23,8.33389E-05,0.000777968
12,6,8.33389E-05,0.000777968
12,3,6.66711E-05,0.000622374
12,13,5.00033E-05,0.000466781
12,1,5.00033E-05,0.000466781
12,19,3.33356E-05,0.000311187
12,21,3.33356E-05,0.000311187
12,7,3.33356E-05,0.000311187
12,8,3.33356E-05,0.000311187
12,4,3.33356E-05,0.000311187
12,30,1.66678E-05,0.000155594
12,28,1.66678E-05,0.000155594
12,25,1.66678E-05,0.000155594
12,32,1.66678E-05,0.000155594
12,15,1.66678E-05,0.000155594
12,2,0,0
12,31,0,0
12,9,0,0
12,11,0,0
12,14,0,0
12,22,0,0
12,29,0,0
17,21,0.001016734,0.009491209
17,10,0.000833389,0.007779679
17,30,0.000816721,0.007624086
17,24,0.000733382,0.006846118
17,26,0.000633376,0.005912556
17,16,0.000533369,0.004978995
17,22,0.000416694,0.00388984
17,23,0.000333356,0.003111872
17,6,0.000266684,0.002489497
17,5,0.000250017,0.002333904
17,1,0.000250017,0.002333904
17,19,0.000233349,0.00217831
17,20,0.000216681,0.002022717
17,3,0.000133342,0.001244749
17,4,0.000133342,0.001244749
17,8,0.000133342,0.001244749
17,12,0.000100007,0.000933562
17,13,8.33389E-05,0.000777968
17,14,8.33389E-05,0.000777968
17,31,6.66711E-05,0.000622374
17,9,6.66711E-05,0.000622374
17,11,5.00033E-05,0.000466781
17,2,5.00033E-05,0.000466781
17,0,5.00033E-05,0.000466781
17,7,3.33356E-05,0.000311187
17,15,3.33356E-05,0.000311187
17,17,1.66678E-05,0.000155594
17,28,1.66678E-05,0.000155594
17,25,1.66678E-05,0.000155594
17,27,1.66678E-05,0.000155594
17,29,1.66678E-05,0.000155594
17,32,0,0
17,18,0,0
3,16,0.002533502,0.023650226
3,24,0.001316754,0.012291894
3,10,0.000400027,0.003734246
3,5,0.000316688,0.002956278
3,0,0.000233349,0.00217831
3,26,0.000216681,0.002022717
3,19,0.000216681,0.002022717
3,17,0.000200013,0.001867123
3,20,0.000133342,0.001244749
3,4,0.000116674,0.001089155
3,30,0.000100007,0.000933562
3,28,8.33389E-05,0.000777968
3,6,6.66711E-05,0.000622374
3,23,6.66711E-05,0.000622374
3,8,5.00033E-05,0.000466781
3,3,5.00033E-05,0.000466781
3,18,5.00033E-05,0.000466781
3,21,3.33356E-05,0.000311187
3,14,1.66678E-05,0.000155594
3,1,1.66678E-05,0.000155594
3,7,1.66678E-05,0.000155594
3,15,1.66678E-05,0.000155594
3,31,1.66678E-05,0.000155594
3,11,0,0
3,22,0,0
3,27,0,0
3,32,0,0
3,29,0,0
3,25,0,0
3,2,0,0
3,12,0,0
3,9,0,0
3,13,0,0
7,13,0.00120008,0.011202738
7,16,0.000966731,0.009024428
7,5,0.000266684,0.002489497
7,26,0.000166678,0.001555936
7,21,0.00015001,0.001400342
7,24,0.000116674,0.001089155
7,30,0.000116674,0.001089155
7,17,0.000100007,0.000933562
7,7,6.66711E-05,0.000622374
7,23,5.00033E-05,0.000466781
7,1,5.00033E-05,0.000466781
7,6,3.33356E-05,0.000311187
7,28,3.33356E-05,0.000311187
7,10,3.33356E-05,0.000311187
7,20,3.33356E-05,0.000311187
7,3,1.66678E-05,0.000155594
7,8,1.66678E-05,0.000155594
7,15,1.66678E-05,0.000155594
7,31,0,0
7,0,0,0
7,22,0,0
7,4,0,0
4,16,0.001100073,0.010269177
4,17,0.00030002,0.002800685
4,24,0.000283352,0.002645091
4,20,0.000200013,0.001867123
4,0,0.00015001,0.001400342
4,10,0.000133342,0.001244749
4,5,0.000133342,0.001244749
4,26,0.000100007,0.000933562
4,23,6.66711E-05,0.000622374
4,3,6.66711E-05,0.000622374
4,28,6.66711E-05,0.000622374
4,13,6.66711E-05,0.000622374
4,6,5.00033E-05,0.000466781
