TARGET,자녀 수,가족 구성원 수,나이,가입연수,월간 수입,성별,차량 소유 여부,부동산 소유 여부,수입 유형,최종 학력,결혼 여부,주거 형태,휴대전화 소유 여부,이메일 소유 여부,직업,산업군,도시구분
0,2,4.0,39,23.0,1504500.0,1,1,1,3,0,0,3,1,0,1,5,1
0,0,2.0,45,16.0,4956000.0,0,1,0,1,1,0,3,1,0,4,16,2
0,0,2.0,32,9.0,2478000.0,1,0,1,1,0,0,3,1,0,5,16,2
0,1,3.0,34,12.0,3186000.0,1,1,0,2,0,0,3,1,0,1,17,1
0,0,2.0,38,4.0,2212500.0,1,0,1,1,0,0,3,1,0,1,16,3
0,0,1.0,30,1.0,1770000.0,1,1,0,1,0,1,1,1,0,17,10,2
0,0,1.0,52,23.0,3097500.0,1,0,1,1,0,1,3,1,0,5,16,2
0,1,3.0,46,13.0,3540000.0,0,1,1,2,0,0,3,1,0,4,16,1
0,0,2.0,61,40.0,2655000.0,1,0,0,2,0,0,0,1,0,5,25,3
0,0,1.0,32,13.0,3097500.0,0,1,0,1,3,1,1,1,0,5,16,2
0,0,2.0,61,8.0,2566500.0,1,0,1,3,0,0,3,1,0,1,5,1
0,2,4.0,38,0.0,4425000.0,0,1,1,1,0,0,3,1,0,12,20,3
1,1,3.0,43,6.0,885000.0,1,0,1,1,0,0,3,1,0,1,30,1
1,0,1.0,31,31.0,3982500.0,0,1,1,2,1,1,3,1,0,11,16,2
0,0,2.0,48,27.0,2655000.0,1,0,1,1,0,4,3,1,0,17,23,3
0,0,2.0,61,2.0,1681500.0,1,0,1,3,0,0,3,1,0,1,5,1
0,0,2.0,49,28.0,5929500.0,0,0,1,1,0,0,3,1,0,12,24,2
0,0,2.0,44,19.0,2212500.0,1,0,1,1,3,4,3,1,0,10,16,3
0,0,2.0,34,18.0,1770000.0,1,0,1,1,0,0,3,1,0,5,24,3
0,0,2.0,50,18.0,3363000.0,1,1,1,2,1,0,2,1,0,17,7,3
0,1,3.0,36,9.0,1168200.0,1,0,0,1,1,0,3,1,0,13,23,2
0,1,3.0,28,3.0,7522500.0,0,0,0,1,0,0,3,1,0,1,17,3
0,1,3.0,27,5.0,5310000.0,0,1,0,1,0,0,2,1,0,5,4,1
1,0,2.0,47,24.0,2212500.0,1,0,1,1,0,4,3,1,0,1,5,3
0,0,2.0,41,25.0,3540000.0,0,1,0,2,0,0,3,1,0,3,8,1
0,0,1.0,51,34.0,2301000.0,1,0,0,1,0,1,0,1,0,5,17,3
0,0,2.0,59,21.0,2212500.0,0,1,1,3,0,0,3,1,0,1,5,2
0,0,2.0,52,28.0,1770000.0,1,1,1,1,0,0,3,1,0,10,10,2
0,0,1.0,67,4.0,2655000.0,1,0,1,3,1,1,3,1,0,1,5,2
0,0,1.0,27,0.0,4867500.0,1,1,1,1,1,1,3,1,0,1,16,3
0,0,1.0,45,25.0,4867500.0,1,0,0,1,0,3,3,1,1,2,24,1
0,0,1.0,44,15.0,3097500.0,1,0,1,1,1,2,3,1,0,1,5,3
0,0,2.0,57,7.0,2212500.0,1,0,1,3,0,0,3,1,0,1,5,1
