,TARGET,성별,차량 소유 여부,부동산 소유 여부,수입 유형,최종 학력,결혼 여부,주거 형태,휴대전화 소유 여부,이메일 소유 여부,직업,가족 구성원 수,산업군,나이,가입연수,도시구분,월간 수입
0,0,2,1,1,3,0,0,3,1,0,1,4,5,1,2,3,0
1,0,1,1,0,1,1,0,3,1,0,4,2,16,2,1,1,3
2,0,2,0,1,1,0,0,3,1,0,5,2,16,1,1,1,1
3,0,2,1,0,2,0,0,3,1,0,1,3,17,1,1,3,2
4,0,2,0,1,1,0,0,3,1,0,1,2,16,1,0,0,1
5,0,2,1,0,1,0,1,1,1,0,17,1,10,0,0,1,0
6,0,2,0,1,1,0,1,3,1,0,5,1,16,3,2,1,2
7,0,1,1,1,2,0,0,3,1,0,4,3,16,2,1,3,2
8,0,2,0,0,2,0,0,0,1,0,5,2,25,4,2,0,1
9,0,1,1,0,1,3,1,1,1,0,5,1,16,1,1,1,2
10,0,2,0,1,3,0,0,3,1,0,1,2,5,4,1,3,1
11,0,1,1,1,1,0,0,3,1,0,12,4,20,1,0,0,3
12,1,2,0,1,1,0,0,3,1,0,1,3,30,2,1,3,0
13,1,1,1,1,2,1,1,3,1,0,11,1,16,1,2,1,2
14,0,2,0,1,1,0,4,3,1,0,17,2,23,2,2,0,1
15,0,2,0,1,3,0,0,3,1,0,1,2,5,4,0,3,0
16,0,1,0,1,1,0,0,3,1,0,12,2,24,2,2,1,3
17,0,2,0,1,1,3,4,3,1,0,10,2,16,2,1,0,1
18,0,2,0,1,1,0,0,3,1,0,5,2,24,1,1,0,0
19,0,2,1,1,2,1,0,2,1,0,17,2,7,2,1,0,2
20,0,2,0,0,1,1,0,3,1,0,13,3,23,1,1,1,0
21,0,1,0,0,1,0,0,3,1,0,1,3,17,0,0,0,3
22,0,1,1,0,1,0,0,2,1,0,5,3,4,0,0,3,3
23,1,2,0,1,1,0,4,3,1,0,1,2,5,2,2,0,1
24,0,1,1,0,2,0,0,3,1,0,3,2,8,2,2,3,2
25,0,2,0,0,1,0,1,0,1,0,5,1,17,3,2,0,1
26,0,1,1,1,3,0,0,3,1,0,1,2,5,3,2,1,1
27,0,2,1,1,1,0,0,3,1,0,10,2,10,3,2,1,0
28,0,2,0,1,3,1,1,3,1,0,1,1,5,4,0,1,1
29,0,2,1,1,1,1,1,3,1,0,1,1,16,0,0,0,3
30,0,2,0,0,1,0,3,3,1,1,2,1,24,2,2,3,3
31,0,2,0,1,1,1,2,3,1,0,1,1,5,2,1,0,2
32,0,2,0,1,3,0,0,3,1,0,1,2,5,3,1,3,1
33,0,1,1,1,2,0,0,3,1,0,5,3,16,1,0,3,2
34,0,1,0,1,0,0,0,0,1,0,17,3,1,2,2,3,2
35,0,2,1,1,1,0,0,3,1,1,10,4,17,0,0,1,1
36,1,1,1,1,1,0,0,3,1,0,5,4,16,0,1,1,2
37,0,2,1,1,2,0,0,3,1,0,10,3,24,0,0,0,0
38,1,1,0,1,2,0,0,3,1,0,5,4,16,2,0,3,1
39,0,2,1,0,1,1,2,0,1,0,18,1,5,1,0,0,3
40,0,2,0,0,3,0,0,3,1,0,1,2,5,3,1,0,3
41,0,1,1,1,0,0,0,3,1,0,12,3,4,0,1,0,2
42,0,2,0,1,3,1,3,3,1,0,1,1,5,4,1,0,3
43,0,2,0,0,1,0,0,3,1,0,1,2,16,2,1,1,3
44,0,2,0,1,3,0,2,3,1,0,1,1,5,3,2,1,2
45,0,1,0,0,1,0,0,3,1,0,12,4,16,1,0,0,1
46,0,1,1,0,2,1,0,3,1,0,1,3,22,0,0,1,3
47,0,1,1,1,1,1,4,3,1,0,1,2,24,1,1,1,2
48,0,2,1,1,1,0,4,3,1,0,10,2,24,1,0,1,0
49,0,2,0,1,2,0,0,3,1,0,3,2,24,2,1,3,1
50,0,2,0,1,1,0,0,3,1,0,4,3,29,0,1,1,2
51,0,2,0,1,0,1,0,3,1,0,4,2,26,2,1,1,3
